Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /alerts,1538,0,3700,4273.552063210372,11.827650014311075,25643.092713085935,754.2555266579974,5.1320174695705765,0.0,3700,4400,4700,5400,8000,9800,13000,15000,22000,26000,26000
GET,GET /alerts/unread-count,1096,1,3700,4213.977097992294,11.405847035348415,20367.02775512822,17.983576642335766,3.65714638923885,0.0033368123989405566,3700,4300,4800,5800,7900,9200,12000,13000,20000,20000,20000
GET,GET /persons,2060,2,3500,3877.0730629390405,8.077900856733322,25699.73114784807,712.3077669902913,6.873833541817547,0.006673624797881113,3500,4300,4600,4900,7700,8700,11000,13000,22000,26000,26000
GET,GET /persons/{id}/history,736,0,3900,4388.77637852578,15.044394182041287,19076.33844204247,2792.561141304348,2.4558939256202494,0.0,3900,4400,4700,5400,8100,10000,14000,16000,19000,19000,19000
GET,GET /persons/{id}/location,1888,1,3800,4280.413121616806,14.197468990460038,25687.90641403757,78.47192796610169,6.2999018091997705,0.0033368123989405566,3800,4400,4800,5800,8100,9200,12000,13000,21000,26000,26000
POST,POST /auth/login,200,0,520,1073.7681672081817,60.41830102913082,6793.959147995338,81.0,0.6673624797881114,0.0,530,1100,1600,1900,2400,4200,6400,6800,6800,6800,6800
POST,POST /telemetry/fall-suspect,3,0,1300,1622.454121010378,9.754674043506384,3602.37163095735,70.0,0.01001043719682167,0.0,1300,1300,3600,3600,3600,3600,3600,3600,3600,3600,3600
POST,POST /telemetry/gps,9095,5,3600,4057.0733600088633,4.191391868516803,30333.727640099823,69.96382627817482,30.34830876836436,0.016684061994702782,3600,4200,4600,5300,7800,9000,12000,13000,20000,30000,30000
,Aggregated,16616,9,3600,4068.8658567383404,4.191391868516803,30333.727640099823,331.20606644198364,55.44447482079629,0.030031311590465008,3600,4300,4700,5300,7800,9000,12000,13000,21000,28000,30000
